Timestamp,Temperature_Temperature 1,Temperature_Temperature 2,Temperature_Temperature 3,Pressure_Pressure Transmitter 1,Pressure_Pressure Transmitter 2,Pressure_Pressure Transmitter 3,Flow Rate_Pump 1
1744307292.4650726,23.5,,,,,,
1744307292.4780724,,24.8,,,,,
1744307292.4810724,,,24.8,,,,
1744307292.9747403,23.5,,,,,,
1744307292.9903486,,24.9,,,,,
1744307292.9963481,,,24.8,,,,
1744307293.4916296,23.5,,,,,,
1744307293.4996245,,24.9,,,,,
1744307293.5136335,,,24.8,,,,
1744307293.998675,23.5,,,,,,
1744307294.0038326,,24.9,,,,,
1744307294.0268183,,,24.8,,,,
1744307294.551458,,24.9,,,,,
1744307294.5585155,,,24.8,,,,
1744307294.5595155,23.5,,,,,,
1744307295.0589287,,24.9,,,,,
1744307295.0633264,,,24.8,,,,
1744307295.0673265,23.5,,,,,,
1744307295.5692863,,24.8,,,,,
1744307295.571437,,,24.8,,,,
1744307295.5814364,23.5,,,,,,
1744307296.0782084,,24.8,,,,,
1744307296.0862746,,,24.8,,,,
1744307296.0932744,23.5,,,,,,
1744307296.5942297,,24.8,,,,,
1744307296.6042907,,,24.8,,,,
1744307296.60528,23.5,,,,,,
1744307297.105615,,24.8,,,,,
1744307297.1111844,,,24.8,,,,
1744307297.1231732,23.5,,,,,,
1744307297.620336,,24.9,,,,,
1744307297.6243439,,,24.9,,,,
1744307297.638472,23.5,,,,,,
1744307298.1252284,,24.9,,,,,
1744307298.135368,,,24.9,,,,
1744307298.1460764,23.5,,,,,,
1744307298.6411479,,24.9,,,,,
1744307298.6491477,,,24.9,,,,
1744307298.6541474,23.5,,,,,,
1744307299.171486,23.5,,,,,,
1744307299.1796288,,24.9,,,,,
1744307299.1837113,,,24.9,,,,
1744307299.7243924,23.5,,,,,,
1744307299.726392,,,24.9,,,,
1744307299.731393,,24.9,,,,,
1744307300.2344046,23.5,,,,,,
1744307300.2393508,,24.9,,,,,
1744307300.2473514,,,24.9,,,,
1744307300.7399893,23.5,,,,,,
1744307300.7487228,,24.9,,,,,
1744307300.7583342,,,24.9,,,,
1744307301.2548409,23.5,,,,,,
1744307301.2588408,,24.9,,,,,
1744307301.2659287,,,24.9,,,,
1744307301.7825606,,,24.9,,,,
1744307301.7934804,23.5,24.9,,,,,
1744307302.3116446,23.5,,,,,,
1744307302.3196461,,,24.9,,,,
1744307302.3236449,,24.9,,,,,
1744307302.8332958,,,24.9,,,,
1744307302.8373349,23.5,,,,,,
1744307302.8453474,,24.9,,,,,
1744307303.3548753,,,24.9,,,,
1744307303.3619509,,24.9,,,,,
1744307303.369951,23.5,,,,,,
1744307303.8863487,,,24.9,,,,
1744307303.8923,,24.9,,,,,
1744307303.8973107,23.5,,,,,,
1744307304.4177759,23.5,,,,,,
1744307304.4237766,,,24.9,,,,
1744307304.4307768,,24.9,,,,,
1744307304.9707525,23.5,,,,,,
1744307304.978848,,,24.9,,,,
1744307304.982951,,24.9,,,,,
1744307305.4629958,,,,0.0158,,,
1744307305.4669957,,,,,0.1074,,
1744307305.4739957,,,,,,0.0,
1744307305.4799957,23.5,,,,,,
1744307305.4851234,,,24.9,,,,
1744307305.496211,,24.9,,,,,
1744307306.0099604,,,,,,0.0,
1744307306.0119603,,,24.9,,,,
1744307306.015962,,,,0.0067,,,
1744307306.0199606,,24.9,,,0.0985,,
1744307306.0239604,23.5,,,,,,
1744307306.5200667,,,24.9,,,,
1744307306.526736,,,,,,0.0,
1744307306.5273602,,,,0.025,,,
1744307306.5293727,,24.9,,,,,
1744307306.53137,,,,,0.1074,,
1744307306.5323722,23.5,,,,,,
1744307307.0655227,,24.9,,,,,
1744307307.0675075,,,,,0.0801,,
1744307307.0715344,,,24.9,0.0,,,
1744307307.074501,23.5,,,,,,
1744307307.0755002,,,,,,0.0067,
1744307307.5724518,,24.9,,,,,
1744307307.5729635,,,,,0.1349,,
1744307307.578666,,,24.9,0.0,,,
1744307307.5826643,23.5,,,,,0.0,
1744307308.0852706,,,,,0.1259,,
1744307308.0855727,,24.9,,0.0067,,,
1744307308.0906408,23.5,,,,,0.0067,
1744307308.0926428,,,24.9,,,,
1744307308.590343,,24.9,,0.0,,,
1744307308.5983424,23.5,,,,,,
1744307308.5994294,,,,,0.1259,,
1744307308.600343,,,24.9,,,0.0,
1744307309.1250038,,,,0.0067,,,
1744307309.128004,,,24.9,,,,
1744307309.129004,23.5,,,,,,
1744307309.1330035,,24.9,,,0.1073,,
1744307309.1370125,,,,,,0.0067,
1744307309.6851156,,24.9,,,,,
1744307309.690391,,,,0.0,,,
1744307309.6933117,23.5,,,,,,
1744307309.694304,,,,,0.1443,,
1744307309.6953104,,,24.9,,,,
1744307309.6983008,,,,,,0.0,
1744307310.19855,,24.9,,0.0,,,
1744307310.20327,23.5,,,,0.1257,,
1744307310.2052724,,,24.9,,,,
1744307310.2092702,,,,,,0.0,
1744307310.7418687,,,24.9,,,,
1744307310.7452562,23.5,,,0.025,,,
1744307310.748213,,,,,,0.0,
1744307310.7491891,,,,,0.1355,,
1744307310.7497914,,24.9,,,,,
1744307311.248766,,,24.9,,,,
1744307311.2547474,23.5,,,0.0067,,,
1744307311.2587566,,24.9,,,0.1166,,
1744307311.261762,,,,,,0.0157,
1744307311.7602553,,,,0.0,,,
1744307311.7642567,23.5,,24.9,,,,
1744307311.7673109,,24.9,,,0.1442,,
1744307311.7703078,,,,,,0.0,
1744307312.2656524,,,,0.0157,,,
1744307312.2717965,,,24.9,,,,
1744307312.2747986,23.5,,,,0.1355,,
1744307312.2857978,,24.9,,,,0.0,
1744307312.804348,,24.9,,,0.1257,,
1744307312.8083546,,,24.9,0.0249,,,
1744307312.810949,23.5,,,,,0.0,
1744307313.3493936,23.5,,,,0.1259,,
1744307313.3565712,,,24.9,,,,
1744307313.361496,,,,0.0067,,,
1744307313.3634865,,24.9,,,,0.0,
1744307313.8542275,23.5,,,,0.1166,,
1744307313.8673372,,,24.9,,,,
1744307313.871328,,24.9,,,,,
1744307313.8743284,,,,0.025,,,
1744307313.8753326,,,,,,0.0067,
1744307314.3841856,23.5,,,,,,
1744307314.3925197,,24.9,,,0.107,,
1744307314.39352,,,24.9,0.0249,,,
1744307314.396532,,,,,,0.0067,
1744307314.8953648,23.5,,,,,,
1744307314.8993804,,,,0.0067,,,
1744307314.900366,,24.9,,,,,
1744307314.9041507,,,24.9,,,,
1744307314.90715,,,,,0.1074,,
1744307314.9091501,,,,,,0.0067,
1744307315.4103482,,,,0.0157,,,
1744307315.4173381,,,,,0.1257,,
1744307315.4183373,,,24.9,,,,
1744307315.420337,,24.9,,,,0.0,
1744307315.9157639,,,,0.0067,,,
1744307315.9282734,,,24.9,,0.0985,,
1744307315.9312737,,,,,,0.0,
1744307315.9342732,,24.9,,,,,
1744307316.4213715,,,,0.0157,,,
1744307316.4333713,,,,,0.1349,,
1744307316.4373713,,,24.9,,,,
1744307316.4383707,,,,,,0.0158,
1744307316.4403806,,24.9,,,,,
1744307316.9456818,,,24.9,,0.1251,,
1744307316.9467275,,,,0.0067,,,
1744307316.9547293,,24.9,,,,0.0,
1744307317.4612074,,,24.9,,,,
1744307317.4622066,,,,,0.1355,,
1744307317.4652066,,,,0.0,,,
1744307317.4682634,,24.9,,,,0.0067,
1744307317.9816585,,,24.9,,0.1257,,
1744307317.9857051,,,,0.0,,,
1744307317.9877048,23.5,,,,,,
1744307317.9917057,,24.9,,,,0.0,
1744307318.4915483,,,,,0.107,,
1744307318.4920635,,,24.9,,,,
1744307318.4960797,23.5,,,0.0,,,
1744307318.5000706,,24.9,,,,0.0067,
